id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,#voxels
1173858499,,,,Traced,314,130,314,130,72262623
1173862544,,,,Traced,344,143,342,143,79527342
1173865946,,,,Traced,87,14,52,8,9985735
1173866070,,,,Traced,362,139,350,135,86160689
1173866149,,,,Traced,400,200,20,17,142748783
1174202921,,,,Traced,524,190,519,188,122346688
1174202975,,,,Traced,375,146,373,146,85312284
1174203033,,,,Traced,337,128,337,128,78567782
1174207055,,,,Traced,19,7,17,6,3115744
1174207081,,,,Traced,396,152,392,150,84024525
1174548002,,,,Traced,69,21,69,21,14074728
1200420408,,,,Traced,298,143,15,11,104019238
1200429271,,,,Traced,325,165,6,4,107224661
1200753109,,,,Traced,381,173,1,1,113405456
1200753268,,,,Traced,326,163,27,17,107446970
1200757385,,,,Traced,357,179,6,3,107393610
1200757471,,,,Traced,342,160,8,3,105326174
1200761654,,,,Traced,327,147,1,4,96715380
1200765789,,,,Traced,302,151,12,7,105283327
1200766221,,,,Traced,396,188,8,6,116765351
1200770371,,,,Traced,376,174,12,8,104430348
1200775428,,,,Traced,398,188,22,11,122077944
1201093707,,,,Traced,300,118,1,1,96675313
1201098120,,,,Traced,303,147,2,4,98460612
1201101806,,,,Traced,348,165,3,5,102385174
1201106786,,,,Traced,365,185,21,9,128375209
1201111265,,,,Traced,403,181,7,6,120441264
1201434658,,,,Traced,347,161,1,1,113719657
1201455996,,,,Traced,344,166,5,5,98927959
1201456491,,,,Traced,357,159,3,2,104449511
1201461519,,,,Traced,307,144,11,12,84813136
1201788237,,,,Traced,377,175,23,12,117653059
1201792863,,,,Traced,376,164,3,2,105694747
1202125326,PAM01_b(y5)_L,,PAM01_b,Traced,1020,151,665,108,196819019
1202138266,,,,Traced,330,167,8,7,102378399
1202142924,,,,Traced,389,174,66,34,119167333
1202397143,PAM01_b(y5)_R,,PAM01_b,Traced,694,140,58,19,332604177
1202449210,,,,Traced,404,138,402,137,86233482
1202449287,,,,Traced,371,155,369,154,85680598
1202453960,,,,Traced,382,163,381,162,92859307
1202458085,,,,Traced,395,173,382,169,94535096
1202462198,PAM02(B'2a)_L,,PAM02,Traced,1125,202,5,1,211284785
1202462209,,,,Traced,330,138,330,138,71964353
1202470836,PAM07(y4<y1y2)_L,,PAM07,Traced,807,275,648,235,223533768
1202789972,,,,Traced,344,123,344,123,80595631
1202790018,,,,Traced,473,179,472,179,106820624
1202790192,,,,Traced,348,135,348,135,70969785
1202794434,,,,Traced,408,180,405,179,99955337
1202794481,,,,Traced,118,62,118,59,36348481
1202794508,,,,Traced,345,149,345,149,86288654
1202798333,,,,Traced,437,152,437,152,86372661
1202798453,,,,Traced,370,171,370,171,92095400
1202798516,,,,Traced,378,133,378,133,88475238
1202802936,,,,Traced,339,136,339,136,77518834
1202807183,,,,Traced,193,88,193,88,37026318
1202811349,,,,Traced,304,125,304,125,68536719
1202811406,,,,Traced,346,147,346,147,82104541
1202811421,,,,Traced,456,176,456,176,94379864
1202811506,,,,Traced,362,148,361,148,90984716
1202811509,,,,Traced,429,176,400,164,99871653
1202811584,,,,Traced,373,150,373,150,87411906
1202811668,,,,Traced,248,117,242,114,57298720
1202815668,,,,Traced,348,145,348,145,74621025
1202815688,,,,Traced,180,85,180,85,41432289
1202815778,,,,Traced,389,146,389,146,86874872
1202855439,,,,Traced,426,172,426,171,100349977
1202856013,,,,Traced,385,178,379,176,93666536
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,102,38,320100027
1203126732,,,,Traced,161,85,160,85,47004859
1203126737,,,,Traced,382,157,382,157,79242078
1203126780,,,,Traced,369,162,367,162,90907665
1203126811,,,,Traced,174,80,174,79,38894418
1203131289,,,,Traced,397,159,396,158,88409611
1203135412,,,,Traced,397,149,396,149,92541463
1203139367,,,,Traced,417,187,414,186,102224956
1203139690,,,,Traced,418,157,418,157,87118330
1203139756,,,,Traced,250,116,250,116,68439672
1203144062,,,,Traced,381,146,381,146,75731545
1203148114,,,,Traced,408,177,408,177,98638085
1203148537,,,,Traced,395,166,395,166,83990805
1203152615,,,,Traced,333,135,333,135,74574901
1203152633,,,,Traced,327,131,318,129,71654846
1203152661,,,,Traced,442,162,442,162,92241625
1203152969,,,,Traced,385,160,385,160,80759378
1203152975,,,,Traced,445,184,444,183,103420227
1203156766,,,,Traced,324,111,324,111,59807312
1203157106,,,,Traced,444,208,441,205,105986573
1203161662,,,,Traced,364,146,364,146,76605750
1203192772,,,,Traced,163,1,7,1,11459275
1203195792,,,,Traced,11,10,9,9,8454190
1203463754,,,,Traced,241,121,240,119,72139012
1203468099,,,,Traced,315,142,315,142,84563281
1203468286,,,,Traced,252,123,252,123,84791237
1203471972,,,,Traced,293,122,293,122,66782970
1203472034,,,,Traced,372,163,372,163,88648407
1203472058,,,,Traced,423,175,423,175,87715133
1203472131,,,,Traced,303,130,303,130,87353353
1203472284,,,,Traced,437,176,432,174,96607579
1203480711,,,,Traced,321,134,321,134,83876252
1203480791,,,,Traced,395,157,395,157,104958568
1203480870,,,,Traced,409,162,408,162,86148163
1203480923,,,,Traced,441,173,439,173,92218236
1203484926,,,,Traced,412,149,412,149,87349945
1203489236,,,,Traced,391,160,389,157,91650960
1203489261,,,,Traced,388,173,381,170,100180809
1203489435,,,,Traced,148,63,142,61,33943979
1203493465,,,,Traced,324,122,324,122,67331701
1203493554,,,,Traced,224,81,224,81,46601215
1203493628,,,,Traced,350,137,346,137,89693901
1203493705,,,,Traced,116,48,116,48,23267912
1203493783,,,,Traced,372,155,361,151,76485175
1203493889,,,,Traced,360,156,360,156,73414837
1203493920,,,,Traced,329,126,324,124,69370957
1203497815,,,,Traced,354,152,354,152,78375087
1203497917,,,,Traced,255,104,244,101,47676473
1203498123,,,,Traced,341,142,341,142,83497914
1203502365,,,,Traced,339,137,339,137,80190634
1203502419,,,,Traced,309,155,309,155,69816877
1203502438,,,,Traced,408,163,408,163,89957794
1203502565,,,,Traced,104,35,104,35,14147086
1203532988,,,,Traced,361,135,357,134,94500481
1203533004,,,,Traced,402,172,390,166,96796018
1203533012,,,,Traced,343,147,340,144,87865977
1203533029,,,,Traced,355,149,355,149,85378877
1203533037,,,,Traced,424,143,422,143,87352691
1203533050,,,,Traced,395,150,389,148,97757698
1203533108,,,,Traced,393,141,390,141,90825105
1203536928,,,,Traced,2,4,2,3,4341329
1203795889,,,,Traced,244,116,244,116,70938564
1203800244,,,,Traced,259,125,259,125,58056935
1203800348,,,,Traced,326,153,326,153,83021319
1203804673,,,,Assign,3,2,3,2,543694
1203804872,,,,Traced,671,71,650,71,92244683
1203804933,,,,Assign,6,2,6,2,1351092
1203808840,,,,Traced,300,136,300,136,75414475
1203809040,,,,Traced,329,138,321,137,86176544
1203809085,,,,Traced,282,135,282,135,69516581
1203809099,,,,Traced,266,129,265,126,69033938
1203809109,,,,Traced,399,176,398,174,116077110
1203809134,,,,Traced,240,107,240,107,69434014
1203812837,,,,Traced,319,149,314,146,89501673
1203812877,,,,Traced,178,100,176,100,52398612
1203813370,,,,Traced,256,118,254,118,76942329
1203813505,,,,Traced,343,150,343,150,100196120
1203813538,,,,Assign,4,2,4,2,647958
1203817429,,,,Traced,336,132,336,132,79869982
1203817438,,,,Traced,286,103,286,103,60999200
1203821864,,,,Traced,375,130,374,130,84874918
1203821901,,,,Traced,303,125,303,125,64342290
1203830346,,,,Traced,338,146,338,146,71172880
1203834471,,,,Traced,286,116,286,116,58480634
1203834568,,,,Traced,400,152,400,152,79552788
1203834636,,,,Assign,3,2,3,2,479641
1203834681,,,,Traced,393,145,393,145,78385057
1203834772,,,,Traced,420,176,420,176,95790146
1203834970,,,,Traced,352,138,352,138,84586957
1203838783,,,,Traced,337,149,337,149,71719432
1203839008,,,,Traced,325,142,325,142,77232400
1203839206,,,,Traced,396,158,396,158,83216228
1203839272,,,,Traced,381,151,380,150,79229572
1203843512,,,,Traced,381,161,381,161,86956846
1203848317,,,,Traced,358,139,358,139,72167580
1203848388,,,,Traced,317,134,317,134,71036430
1203873984,,,,Traced,286,56,3,1,31014399
1204124270,PAM01_a(y5)_R,,PAM01_a,Traced,1841,147,458,45,360645236
1204146051,,,,Traced,276,138,276,138,70373478
1204154501,,,,Traced,231,103,231,103,65658250
1204154553,,,,Traced,321,144,315,143,75036201
1204167241,,,,Assign,4,2,4,2,624860
1204171686,,,,Traced,85,41,82,38,20210652
1204175664,,,,Traced,332,119,332,119,72738622
1204175786,,,,Traced,393,184,384,178,103665716
1204175835,PAM07(y4<y1y2)_R,,PAM07,Traced,1223,182,79,32,429243268
1204175906,,,,Traced,249,134,249,134,64695135
1204175995,,,,Traced,369,147,369,147,86550959
1204176026,,,,Traced,322,134,322,134,75709915
1204176053,,,,Traced,365,147,365,147,91761718
1204176221,,,,Traced,324,138,324,138,65848228
1204176232,,,,Traced,361,164,361,164,79085013
1204176241,,,,Traced,311,147,310,147,80402938
1204180207,,,,Orphan,11,1,11,1,128999
1204180479,,,,Traced,288,139,287,139,77817398
1204180508,,,,Traced,276,115,276,115,61412769
1204184674,,,,Traced,313,133,313,133,68818585
1204184791,,,,Traced,344,137,343,137,74165436
1204193321,,,,Traced,134,54,133,54,23654885
1204193445,,,,Traced,192,69,192,69,34326266
1204193483,,,,Traced,114,47,114,47,18451040
1204198251,,,,Traced,469,163,469,163,92413583
1204202379,,,,Traced,125,47,124,47,23320542
1204206758,,,,Traced,320,139,310,132,84365006
1204206824,,,,Traced,385,169,384,166,88193725
1204206875,,,,Traced,803,165,696,145,75537667
1204214819,,,,Traced,146,20,24,3,13722068
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,10,1,366409907
1204525857,,,,Traced,294,119,294,119,60595295
1204525998,,,,Traced,310,146,310,146,72889546
1204530345,,,,Traced,328,137,327,137,74832001
1204530437,,,,Traced,274,134,274,134,71850579
1204530452,,,,Traced,335,127,335,127,67484091
1204530455,,,,Traced,497,256,488,251,153344651
1204530472,,,,Traced,357,156,357,156,94316318
1204530493,,,,Traced,378,162,378,162,89023769
1204534429,,,,Traced,353,145,353,145,83223928
1204543259,,,,Traced,388,158,388,158,76847458
1204547567,,,,Traced,68,31,68,31,11590328
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,425,149,296229744
1204547639,,,,Traced,414,182,411,182,90555419
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,430,120,228273943
1204879594,,,,Traced,354,129,353,129,78317597
1204879846,,,,Traced,60,25,60,25,10321631
1204879862,,,,Traced,345,155,343,155,74857189
1204879884,,,,Traced,341,143,341,143,80320434
1204883803,,,,Traced,389,167,389,167,85041950
1204888447,,,,Traced,393,161,393,161,82844678
1204888469,,,,Traced,390,156,387,155,84431456
1204888486,,,,Traced,174,71,174,71,35775395
1204888534,,,,Traced,353,143,353,143,63616172
1204892166,,,,Traced,83,37,80,34,15732850
1204892528,,,,Traced,170,53,170,53,27008899
1204892624,,,,Traced,293,99,293,99,30641802
1204892625,,,,Traced,258,119,258,119,59061390
1204896527,,,,Traced,329,134,329,134,77594907
1204896766,,,,Traced,41,14,41,14,6571282
1204896773,,,,Traced,32,14,32,14,4636869
1204900887,,,,Traced,401,171,398,168,97946583
1205090786,PAM12(y3)_R,,PAM12,Traced,771,115,252,69,303136226
1205216792,,,,Traced,885,362,824,326,248160128
1205220623,,,,Traced,206,100,206,99,67639556
1205220787,,,,Traced,286,157,286,156,73098921
1205220855,,,,Traced,77,32,77,32,12772245
1205225135,,,,Traced,324,145,324,144,78018622
1205225146,PAM12(y3)_L,,PAM12,Traced,900,201,479,133,297353925
1205229801,,,,Assign,11,1,11,1,107165
1205233700,,,,Traced,96,35,96,35,16825482
1205233759,,,,Traced,310,128,310,128,67533997
1205237879,,,,Traced,377,152,377,152,80730213
1205241866,,,,Traced,6,3,6,3,1678810
1205241901,,,,Traced,213,2,213,2,10198559
1205241969,,,,Traced,319,140,319,140,71745870
1205242010,,,,Traced,8,3,8,3,1915209
1205557734,,,,Traced,327,147,327,147,89813666
1205561610,,,,Assign,2,2,2,2,1082318
1205562084,,,,Traced,313,125,313,125,72429066
1205562094,,,,Traced,222,98,222,98,68083073
1205565817,,,,Traced,275,125,275,125,72946707
1205570653,,,,Traced,138,68,138,68,41634547
1205574364,,,,Traced,250,113,250,113,79689377
1205574566,,,,Traced,345,148,345,148,79991226
1205574748,,,,Traced,231,122,230,121,72016144
1205579138,,,,Traced,76,8,75,8,9213699
1205582784,,,,Traced,30,8,30,8,7005313
1205583011,,,,Traced,346,153,346,153,75329294
1205898865,,,,Assign,11,1,9,1,1324622
1205898950,,,,Traced,78,24,76,23,14615449
1205898973,,,,Traced,107,46,107,46,18647396
1205911247,,,,Traced,518,165,518,165,76482443
1205911415,,,,Traced,17,13,17,13,5155250
1205915201,,,,Traced,1,7,1,2,76684548
1205915592,,,,Traced,715,65,709,65,98178750
1205915694,,,,Traced,235,30,232,30,30411035
1205919723,,,,Traced,12,2,12,2,1588044
1205919764,,,,Orphan,11,7,11,7,2524400
1205919852,,,,Traced,7,2,7,2,873074
1205919866,,,,Traced,267,114,267,114,80246065
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,221,52,308877449
1231800234,,,,Traced,277,115,1,1,104019898
1231813860,,,,Traced,2080,217,441,37,291620561
1232473612,,,,Traced,318,156,3,2,90118002
1233155780,,,,Traced,346,161,3,2,112768068
1233428010,PAM01_a(y5)_R,,PAM01_a,Traced,1101,172,186,43,371802936
1233436479,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1278,153,268,40,294637816
1233484086,,,,Orphan,21,4,20,4,5221528
1233488751,,,,Traced,367,144,367,144,67931199
1233492436,,,,Traced,425,169,421,169,95875150
1233492573,PAM01_b(y5)_L,,PAM01_b,Traced,804,140,513,107,241710096
1233501275,PAM13(B'1ap)_L,,PAM13,Traced,530,212,1,1,239615319
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,46,6,294286432
1233773217,PAM01_a(y5)_R,,PAM01_a,Traced,1341,162,229,31,319599604
1233820521,,,,Traced,431,177,430,177,92690926
1233829325,,,,Traced,263,108,263,108,50697270
1233829381,,,,Traced,357,144,357,144,90033516
1233829462,,,,Traced,338,149,338,149,77263155
1233833400,,,,Traced,446,148,443,148,82315557
1233837571,,,,Traced,165,64,165,64,32648770
1233846549,,,,Traced,407,160,404,159,83974648
1233855261,,,,Traced,399,146,399,146,73098007
1233859768,,,,Traced,366,148,366,148,81932892
1233859910,,,,Traced,337,133,337,131,80122258
1233860362,,,,Traced,370,147,370,147,75944572
1234161664,,,,Traced,414,169,408,167,96034869
1234166075,,,,Traced,279,119,279,119,67880055
1234170078,,,,Traced,356,155,354,154,88837559
1234170345,,,,Traced,279,125,279,125,70352158
1234178863,,,,Traced,378,166,377,165,86673568
1234183401,,,,Traced,337,149,337,149,89233037
1234187353,,,,Traced,320,111,317,110,70024506
1234187536,,,,Traced,329,142,329,142,80883614
1234187724,,,,Traced,397,188,395,188,101596363
1234187946,,,,Traced,417,166,412,166,83188600
1234196346,,,,Traced,75,33,75,33,11667084
1234200934,,,,Traced,421,157,420,156,87982998
1234201062,,,,Traced,398,160,398,160,88413028
1234481054,PAM01_a(y5)_R,,PAM01_a,Traced,1004,155,167,37,273212378
1234498658,,,,Traced,298,133,298,133,74392333
1234502448,,,,Traced,282,138,282,138,76210446
1234502700,,,,Traced,243,121,243,121,63911784
1234502987,,,,Traced,399,157,399,157,84588094
1234507033,,,,Assign,3,2,3,2,776450
1234507165,,,,Traced,376,142,376,142,88705169
1234507168,,,,Traced,250,107,250,107,58654941
1234511154,,,,Traced,370,167,370,167,84341056
1234511471,,,,Traced,381,149,381,149,73316388
1234515394,,,,Traced,373,153,373,153,76575130
1234515445,,,,Traced,273,118,273,118,85152737
1234519835,,,,Traced,313,135,313,135,63177750
1234524252,,,,Assign,4,3,4,3,1194282
1234528437,,,,Traced,295,131,295,131,74064005
1234528456,,,,Traced,340,139,340,139,89857927
1234528528,,,,Traced,365,190,365,190,95069461
1234532750,,,,Traced,333,146,333,146,66952034
1234537126,,,,Traced,473,169,468,168,101870805
1234537141,,,,Traced,341,143,341,143,71258325
1234839488,,,,Traced,280,128,280,128,71735342
1234839559,,,,Assign,2,2,2,2,597588
1234843448,,,,Traced,284,126,284,126,68806630
1234843654,,,,Traced,327,150,327,150,89149453
1234852244,,,,Traced,343,140,343,140,84834882
1234852557,,,,Traced,288,109,288,109,67709740
1234856811,,,,Traced,382,150,382,150,83211716
1234860818,,,,Traced,335,145,335,145,72853193
1234865296,,,,Traced,136,58,136,58,32338561
1234869390,,,,Traced,190,84,190,83,39530014
1234869402,,,,Assign,1,2,1,2,290636
1234869777,,,,Traced,410,170,410,170,79032294
1234869806,,,,Traced,191,90,191,90,49520057
1234873868,,,,Traced,327,168,327,168,86587051
1234874072,,,,Traced,125,48,125,48,26297351
1234878250,,,,Traced,378,147,378,147,85593800
1234882662,,,,Traced,299,114,299,114,58654075
1234895570,,,,Traced,246,92,246,92,50382255
1235176196,,,,Traced,288,117,288,117,76338996
1235180582,,,,Assign,3,3,3,3,1250672
1235180679,,,,Orphan,18,4,18,4,2833043
1235180818,,,,Traced,264,111,264,111,64292646
1235184559,,,,Assign,3,2,3,2,1011483
1235184628,,,,Traced,305,143,305,143,80204110
1235184848,,,,Traced,252,106,250,105,65701950
1235185053,,,,Traced,253,111,253,111,57452879
1235188905,,,,Assign,1,2,1,2,165003
1235193644,,,,Assign,4,3,4,3,879806
1235206407,,,,Traced,427,159,427,159,91013478
1235210619,,,,Traced,1335,147,1335,147,167844115
1235210728,,,,Traced,441,175,441,175,86547464
1235211130,,,,Traced,174,76,174,76,38612896
1235211134,,,,Traced,240,127,240,127,66831827
1235215026,,,,Traced,402,147,402,147,91232426
1235215078,,,,Traced,369,144,369,144,67344067
1235223331,,,,Traced,402,145,402,145,82361651
1235236510,,,,Traced,397,159,397,158,89478000
1235241014,,,,Traced,388,143,388,143,87401400
1235245057,,,,Traced,158,22,26,4,15123469
1235521392,,,,Traced,224,129,224,129,73445956
1235521581,,,,Assign,6,2,6,2,1112978
1235521745,,,,Traced,221,105,220,103,58504918
1235543161,,,,Traced,386,129,386,129,76430279
1235547488,,,,Orphan,15,5,15,5,4281784
1235551524,,,,Traced,373,159,373,159,78707301
1235551598,,,,Traced,255,101,255,101,61199694
1235551898,,,,Traced,300,149,299,149,93359356
1235551983,,,,Traced,293,132,293,132,73622737
1235552011,,,,Traced,149,54,149,54,31623593
1235552272,,,,Traced,317,133,316,133,70917251
1235556131,,,,Traced,248,121,248,121,63306420
1235577444,,,,Traced,49,21,49,21,6897542
1235577630,,,,Traced,300,133,300,133,60224497
1235577694,,,,Traced,398,168,398,168,86106421
1235577722,,,,Traced,36,19,36,19,6858603
1235581855,,,,Traced,383,137,383,137,79819754
1235581886,,,,Traced,311,129,303,126,58160493
1235581957,,,,Traced,321,133,321,133,67704086
1235586005,,,,Traced,404,173,400,172,95685456
1235893218,,,,Traced,284,111,284,111,79241204
1235910058,,,,Traced,359,149,359,149,77909466
1235910065,,,,Traced,82,33,82,33,15004680
1235910160,,,,Traced,142,66,142,66,29928899
1235931580,,,,Traced,238,94,237,93,53330910
1235935842,,,,Traced,11,3,11,3,1894213
1236243134,,,,Traced,367,162,367,162,78588991
1236247069,,,,Traced,341,143,341,143,81039649
1236247163,,,,Traced,279,135,279,135,81841861
1236255469,,,,Traced,328,147,328,147,79186126
1236259679,,,,Traced,44,16,44,16,9076210
1236272487,,,,Traced,395,157,388,155,85149491
1236272626,,,,Traced,7,2,7,2,1231669
1236276679,,,,Traced,10,4,10,4,2110311
1236276698,,,,Traced,24,10,24,10,2904208
1236276774,,,,Traced,6,2,6,2,541812
1236276866,,,,Traced,9,3,9,3,1163776
1236276873,,,,Traced,273,99,273,99,45777725
1236276874,,,,Traced,325,129,319,127,79749239
1236276888,,,,Traced,15,6,15,6,3478208
1236588413,,,,Traced,284,114,282,114,82171627
1236588472,,,,Traced,312,136,311,135,71859308
1236588527,,,,Traced,286,149,285,149,79375526
1236596311,,,,Traced,312,150,312,150,91633473
1236600438,,,,Traced,260,125,260,125,83709119
1236600721,,,,Traced,47,17,47,17,9209568
1236605279,,,,Traced,168,72,168,72,42344932
1236609472,,,,Traced,335,106,335,106,40578196
1236613456,,,,Traced,308,27,308,27,29415579
1236617820,,,,Traced,3,2,3,2,1808664
1236929421,,,,Traced,246,114,246,114,72261765
1236933108,,,,Traced,361,170,361,170,113528195
1236933225,,,,Traced,118,55,118,55,27196561
1236933316,,,,Traced,285,121,285,121,64453293
1236933457,,,,Traced,235,118,235,118,62248273
1236937706,,,,Assign,3,2,3,2,543148
1236946153,,,,Traced,310,129,310,129,75189523
1236950206,,,,Traced,320,136,320,136,73068279
1236954602,,,,Traced,1201,112,1192,112,127465105
1236954864,,,,Traced,30,2,30,2,3332087
1236958821,,,,Traced,1,2,1,2,901556
1236959055,,,,Traced,168,35,168,35,19743212
1237282956,,,,Traced,291,134,291,134,72182050
1264186300,PAM01_a(y5)_L,,PAM01_a,Traced,900,143,498,86,240889204
1264860063,,,,Traced,396,150,396,150,95035705
1264872680,,,,Traced,402,163,402,163,83910786
1264876876,,,,Assign,11,1,11,1,843971
1264881677,,,,Traced,189,72,189,72,41233671
1265196598,,,,Traced,324,149,324,149,73930783
1265213696,,,,Traced,426,172,425,171,91456945
1265213867,,,,Traced,307,139,305,138,70634749
1265218007,,,,Traced,375,148,375,148,80755551
1265222446,,,,Traced,346,146,346,146,89321158
1265222838,,,,Traced,273,109,273,109,54838975
1265226713,,,,Traced,336,144,336,144,71393738
1265226962,,,,Traced,342,155,342,155,81830480
1265226979,,,,Traced,331,168,331,168,91602115
1265230853,,,,Traced,384,149,384,149,86430038
1265231272,,,,Traced,310,104,310,104,64011694
1265528748,,,,Assign,5,2,5,2,1561565
1265533296,,,,Assign,4,3,4,3,2797298
1265533565,,,,Traced,344,132,344,132,86563627
1265541872,,,,Traced,188,75,188,75,43637899
1265546189,,,,Traced,389,157,386,156,91618839
1265550374,,,,Traced,323,140,323,140,57312593
1265554598,,,,Assign,1,2,1,2,485352
1265559202,,,,Traced,342,152,342,152,76670226
1265563373,,,,Assign,4,2,4,2,388467
1265567679,,,,Traced,371,168,370,168,95272091
1265576438,,,,Traced,364,146,364,146,72957235
1265581065,,,,Traced,361,124,361,124,68362817
1265869822,,,,Orphan,32,4,32,4,2660021
1265869888,,,,Orphan,38,20,38,20,9341089
1265874422,,,,Assign,2,2,2,2,578199
1265874665,,,,Traced,422,42,416,42,58874262
1265883065,,,,Traced,354,168,354,168,87894291
1265900146,,,,Traced,225,99,225,99,49772304
1265904345,,,,Traced,472,182,472,182,101307574
1265904509,,,,Traced,362,146,362,146,67579513
1265904536,,,,Orphan,22,3,22,3,2083945
1265904619,,,,Traced,429,183,429,183,97919642
1265904680,,,,Traced,359,154,359,154,83562517
1265925883,,,,Assign,12,1,12,1,879436
1265930485,,,,Traced,347,130,345,128,74753071
1266215142,,,,Assign,3,2,3,2,465777
1266232663,,,,Traced,252,113,252,113,54616481
1266241242,,,,Traced,424,179,424,179,90030895
1266241353,,,,Assign,7,2,7,2,1001224
1266245811,,,,Traced,321,127,321,127,72977692
1266249914,,,,Traced,304,134,304,134,86019175
1266249998,,,,Traced,380,164,380,164,73598043
1266258393,,,,Assign,2,2,2,2,15282
1266258567,,,,Traced,392,176,392,176,98749164
1266262966,,,,Traced,395,162,395,162,83389239
1266271211,,,,Traced,40,20,40,20,7067956
1266275534,,,,Assign,4,2,4,2,491427
1266478519,PAM12(y3)_L,,PAM12,Traced,577,117,270,54,216360555
1266552189,,,,Orphan,20,4,20,4,3634155
1266556230,,,,Assign,4,3,4,3,1098884
1266565245,,,,Traced,324,143,324,143,86137061
1266578064,,,,Traced,345,157,342,154,94854836
1266582394,,,,Assign,3,2,3,2,767659
1266586478,,,,Traced,293,140,293,140,74331175
1266586944,,,,Traced,335,150,335,150,85786041
1266587227,,,,Orphan,8,5,8,5,1752112
1266591155,,,,Traced,285,122,285,122,66437548
1266599702,,,,Traced,283,109,283,109,62908838
1266603851,,,,Traced,318,139,317,137,78065394
1266608192,,,,Orphan,27,1,27,1,347357
1266612625,,,,Orphan,26,1,26,1,1496013
1266620987,,,,Traced,47,21,47,21,6303385
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,386,48,416278069
1266927804,,,,Traced,258,117,258,117,79065056
1266927894,,,,Traced,265,112,265,112,75325861
1266928067,,,,Traced,293,132,293,132,75784961
1266928070,,,,Assign,3,2,3,2,469972
1266928089,,,,Traced,337,29,328,29,39554649
1266931956,,,,Assign,5,2,5,2,776246
1266931963,,,,Traced,246,132,246,132,72076716
1266932234,,,,Assign,2,2,2,2,97048
1266932289,,,,Traced,294,134,294,134,69212210
1266936476,,,,Traced,309,141,309,141,75908400
1266949147,,,,Assign,6,2,6,2,915667
1266953432,,,,Traced,401,156,401,156,87418927
1266957589,,,,Traced,28,9,28,9,4330063
1266966294,,,,Traced,349,140,349,139,80181575
1266966339,,,,Traced,204,115,180,62,96606911
1266966493,,,,Traced,42,3,42,3,2301100
1266966521,,,,Traced,9,3,9,3,844032
1266970663,,,,Traced,68,7,68,7,6856581
1266970692,,,,Traced,470,15,454,15,33757078
1266970778,,,,Traced,54,28,54,28,13097936
1267238558,,,,Orphan,42,7,42,7,7555391
1267273512,,,,Traced,212,15,210,15,19869570
1267277238,,,,Traced,270,140,269,140,79364804
1267277353,,,,Assign,2,3,2,3,636135
1267277453,,,,Traced,488,194,488,194,102134888
1267290256,,,,Traced,334,120,334,120,75772658
1267307462,,,,Traced,31,2,31,2,1937357
1267311688,,,,Traced,6,3,6,3,1042492
1267311817,,,,Traced,36,1,36,1,1060719
1267311922,,,,Traced,63,8,63,8,6463670
1267622869,,,,Traced,329,166,329,166,78849214
1267626808,,,,Traced,249,101,249,101,49705987
1267627049,,,,Traced,311,123,311,123,70634053
1267639997,,,,Assign,10,1,10,1,120254
1267648620,,,,Traced,206,88,206,88,40713475
1267648663,,,,Traced,55,23,55,23,15763490
1267652894,,,,Traced,3,2,3,2,503957
1267652915,,,,Traced,2,2,2,2,855655
1267652937,,,,Traced,117,2,117,2,6008133
1267963803,,,,Traced,113,36,113,36,22000812
1267963927,,,,Assign,3,2,3,2,225270
1267964143,,,,Traced,274,128,274,128,64576850
1267968028,,,,Assign,3,2,3,2,897070
1267968037,,,,Assign,10,1,10,1,839551
1267972445,,,,Assign,2,2,2,2,150137
1267976697,,,,Traced,364,156,364,156,86958182
1267981069,,,,Traced,78,6,78,6,7154972
1267989544,,,,Traced,12,4,12,4,1902624
1267989817,,,,Traced,171,66,171,66,37502446
1267993936,,,,Traced,22,8,22,8,3537071
1267993967,,,,Traced,2,2,2,2,576828
1268317628,,,,Traced,64,8,64,8,6384429
1268335077,,,,Traced,27,12,27,12,5185801
1268335109,,,,Traced,16,2,16,2,3099587
1293451424,KCa'B'_L?,,,Traced,211,97,2,3,88610144
1293844325,,,,Traced,205,77,4,1,59232989
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,161,50,225739136
1295566429,PAM02(B'2a)_L,,PAM02,Traced,1009,218,14,1,267245995
1295855722,PAM01_b(y5)_R,,PAM01_b,Traced,1117,157,247,45,330482362
1295903406,,,,Traced,126,57,126,57,36926756
1295907391,,,,Traced,299,110,299,109,69568624
1295912040,,,,Traced,418,142,414,140,93485498
1295916223,,,,Traced,354,151,354,151,80178421
1295916326,,,,Traced,409,144,406,143,92031032
1296227260,,,,Traced,265,114,265,114,63340648
1296244176,,,,Traced,325,150,325,150,71737519
1296244390,,,,Traced,350,173,350,173,74397961
1296257159,,,,Traced,149,62,149,62,26815530
